session_id,user_id,session_start,session_end,device_type
1,1,2024-12-30 13:00:00,2024-12-30 13:04:00,iOS
2,1,2024-10-19 02:00:00,2024-10-19 02:15:00,iOS
3,1,2024-11-14 16:00:00,2024-11-14 16:40:00,iOS
4,1,2024-10-19 17:00:00,2024-10-19 17:14:00,iOS
5,1,2025-01-07 22:00:00,2025-01-07 22:36:00,iOS
6,1,2024-12-08 07:00:00,2024-12-08 07:30:00,iOS
7,1,2024-12-30 08:00:00,2024-12-30 08:02:00,iOS
8,1,2024-11-05 22:00:00,2024-11-05 22:29:00,iOS
9,1,2024-11-28 08:00:00,2024-11-28 08:11:00,iOS
10,2,2024-09-05 04:00:00,2024-09-05 04:17:00,Android
11,2,2024-10-13 17:00:00,2024-10-13 17:18:00,Android
12,2,2024-10-16 13:00:00,2024-10-16 13:39:00,Android
13,2,2024-09-23 11:00:00,2024-09-23 11:16:00,Android
14,2,2024-08-20 16:00:00,2024-08-20 16:33:00,Android
15,2,2024-08-14 01:00:00,2024-08-14 01:09:00,Android
16,2,2024-08-22 20:00:00,2024-08-22 20:12:00,Android
17,2,2024-10-29 13:00:00,2024-10-29 13:40:00,Android
18,2,2024-08-11 12:00:00,2024-08-11 12:26:00,Android
19,2,2024-10-18 14:00:00,2024-10-18 14:35:00,Android
20,3,2023-06-25 00:00:00,2023-06-25 00:18:00,iOS
21,3,2023-07-01 05:00:00,2023-07-01 05:34:00,iOS
22,3,2023-05-11 20:00:00,2023-05-11 20:21:00,iOS
23,3,2023-07-18 16:00:00,2023-07-18 16:40:00,iOS
24,4,2024-07-26 17:00:00,2024-07-26 17:14:00,iOS
25,4,2024-08-07 12:00:00,2024-08-07 12:44:00,iOS
26,4,2024-09-20 11:00:00,2024-09-20 11:30:00,iOS
27,4,2024-09-03 14:00:00,2024-09-03 14:09:00,iOS
28,4,2024-07-30 07:00:00,2024-07-30 07:06:00,iOS
29,4,2024-08-11 00:00:00,2024-08-11 00:39:00,iOS
30,5,2023-04-16 18:00:00,2023-04-16 18:32:00,iOS
31,5,2023-03-05 15:00:00,2023-03-05 15:28:00,iOS
32,5,2023-02-26 03:00:00,2023-02-26 03:08:00,iOS
33,5,2023-04-27 13:00:00,2023-04-27 13:24:00,iOS
34,5,2023-03-28 13:00:00,2023-03-28 13:31:00,iOS
35,5,2023-02-08 21:00:00,2023-02-08 21:43:00,iOS
36,5,2023-04-25 03:00:00,2023-04-25 03:05:00,iOS
37,5,2023-03-25 23:00:00,2023-03-25 23:23:00,iOS
38,6,2023-09-30 22:00:00,2023-09-30 22:37:00,iOS
39,6,2023-10-30 22:00:00,2023-10-30 22:33:00,iOS
40,6,2023-08-26 06:00:00,2023-08-26 06:20:00,iOS
41,6,2023-09-03 01:00:00,2023-09-03 01:39:00,iOS
42,6,2023-10-15 01:00:00,2023-10-15 01:22:00,iOS
43,6,2023-08-14 01:00:00,2023-08-14 01:39:00,iOS
44,6,2023-10-07 16:00:00,2023-10-07 16:35:00,iOS
45,6,2023-08-27 01:00:00,2023-08-27 01:34:00,iOS
46,6,2023-08-17 05:00:00,2023-08-17 05:06:00,iOS
47,6,2023-10-22 02:00:00,2023-10-22 02:45:00,iOS
48,6,2023-09-06 12:00:00,2023-09-06 12:09:00,iOS
49,6,2023-10-18 07:00:00,2023-10-18 07:39:00,iOS
50,7,2024-12-04 08:00:00,2024-12-04 08:04:00,iOS
51,7,2024-10-11 10:00:00,2024-10-11 10:10:00,iOS
52,7,2024-12-31 08:00:00,2024-12-31 08:12:00,iOS
53,8,2024-09-25 01:00:00,2024-09-25 01:25:00,iOS
54,9,2023-07-16 06:00:00,2023-07-16 06:45:00,iOS
55,10,2024-02-24 05:00:00,2024-02-24 05:23:00,Android
56,10,2024-04-13 21:00:00,2024-04-13 21:17:00,Android
57,10,2024-03-26 05:00:00,2024-03-26 05:08:00,Android
58,10,2024-04-09 01:00:00,2024-04-09 01:32:00,Android
59,10,2024-03-20 06:00:00,2024-03-20 06:31:00,Android
60,10,2024-04-05 09:00:00,2024-04-05 09:16:00,Android
61,10,2024-03-20 00:00:00,2024-03-20 00:44:00,Android
62,10,2024-03-16 12:00:00,2024-03-16 12:23:00,Android
63,10,2024-03-27 02:00:00,2024-03-27 02:19:00,Android
64,10,2024-04-05 20:00:00,2024-04-05 20:34:00,Android
65,10,2024-04-12 21:00:00,2024-04-12 21:36:00,Android
66,10,2024-04-03 00:00:00,2024-04-03 00:09:00,Android
67,10,2024-03-25 05:00:00,2024-03-25 05:39:00,Android
68,10,2024-03-25 01:00:00,2024-03-25 01:08:00,Android
69,11,2024-01-28 12:00:00,2024-01-28 12:45:00,iOS
70,11,2023-11-26 19:00:00,2023-11-26 19:38:00,iOS
71,11,2023-12-12 12:00:00,2023-12-12 12:37:00,iOS
72,11,2023-11-04 09:00:00,2023-11-04 09:20:00,iOS
73,11,2023-11-30 13:00:00,2023-11-30 13:39:00,iOS
74,11,2024-01-20 20:00:00,2024-01-20 20:22:00,iOS
75,12,2023-09-07 14:00:00,2023-09-07 14:28:00,iOS
76,12,2023-11-17 18:00:00,2023-11-17 18:14:00,iOS
77,12,2023-11-26 12:00:00,2023-11-26 12:33:00,iOS
78,12,2023-10-19 07:00:00,2023-10-19 07:11:00,iOS
79,12,2023-11-20 22:00:00,2023-11-20 22:02:00,iOS
80,12,2023-09-11 13:00:00,2023-09-11 13:16:00,iOS
81,12,2023-09-20 22:00:00,2023-09-20 22:35:00,iOS
82,12,2023-10-27 01:00:00,2023-10-27 01:37:00,iOS
83,12,2023-09-29 03:00:00,2023-09-29 03:31:00,iOS
84,12,2023-09-15 14:00:00,2023-09-15 14:44:00,iOS
85,12,2023-11-04 17:00:00,2023-11-04 17:40:00,iOS
86,12,2023-10-08 14:00:00,2023-10-08 14:41:00,iOS
87,12,2023-11-01 13:00:00,2023-11-01 13:37:00,iOS
88,12,2023-10-25 05:00:00,2023-10-25 05:32:00,iOS
89,12,2023-10-25 08:00:00,2023-10-25 08:17:00,iOS
90,12,2023-11-18 08:00:00,2023-11-18 08:35:00,iOS
91,12,2023-10-30 20:00:00,2023-10-30 20:17:00,iOS
92,13,2024-07-30 17:00:00,2024-07-30 17:03:00,Android
93,13,2024-07-01 18:00:00,2024-07-01 18:38:00,Android
94,13,2024-08-04 00:00:00,2024-08-04 00:07:00,Android
95,13,2024-08-02 13:00:00,2024-08-02 13:10:00,Android
96,13,2024-07-10 05:00:00,2024-07-10 05:05:00,Android
97,13,2024-06-14 12:00:00,2024-06-14 12:22:00,Android
98,13,2024-06-08 14:00:00,2024-06-08 14:22:00,Android
99,13,2024-06-24 12:00:00,2024-06-24 12:19:00,Android
100,13,2024-07-04 08:00:00,2024-07-04 08:07:00,Android
101,13,2024-07-11 00:00:00,2024-07-11 00:36:00,Android
102,14,2023-05-30 01:00:00,2023-05-30 01:24:00,iOS
103,14,2023-05-26 13:00:00,2023-05-26 13:44:00,iOS
104,14,2023-05-05 02:00:00,2023-05-05 02:34:00,iOS
105,15,2024-11-09 19:00:00,2024-11-09 19:44:00,Android
106,15,2024-10-16 10:00:00,2024-10-16 10:03:00,Android
107,15,2024-10-31 10:00:00,2024-10-31 10:13:00,Android
108,15,2024-10-30 06:00:00,2024-10-30 06:24:00,Android
109,15,2024-10-01 10:00:00,2024-10-01 10:19:00,Android
110,15,2024-11-13 22:00:00,2024-11-13 22:19:00,Android
111,15,2024-11-08 00:00:00,2024-11-08 00:35:00,Android
112,15,2024-09-22 02:00:00,2024-09-22 02:17:00,Android
113,15,2024-10-20 15:00:00,2024-10-20 15:37:00,Android
114,15,2024-09-28 22:00:00,2024-09-28 22:32:00,Android
115,15,2024-11-19 22:00:00,2024-11-19 22:33:00,Android
116,15,2024-10-25 00:00:00,2024-10-25 00:07:00,Android
117,15,2024-10-05 07:00:00,2024-10-05 07:27:00,Android
118,15,2024-11-25 07:00:00,2024-11-25 07:21:00,Android
119,15,2024-11-21 18:00:00,2024-11-21 18:25:00,Android
120,16,2024-07-26 03:00:00,2024-07-26 03:14:00,Android
121,16,2024-08-06 03:00:00,2024-08-06 03:36:00,Android
122,16,2024-09-23 05:00:00,2024-09-23 05:14:00,Android
123,16,2024-07-24 23:00:00,2024-07-24 23:32:00,Android
124,16,2024-08-01 23:00:00,2024-08-01 23:39:00,Android
125,16,2024-09-02 19:00:00,2024-09-02 19:20:00,Android
126,16,2024-07-09 06:00:00,2024-07-09 06:20:00,Android
127,16,2024-07-26 11:00:00,2024-07-26 11:13:00,Android
128,16,2024-08-04 00:00:00,2024-08-04 00:36:00,Android
129,16,2024-07-13 08:00:00,2024-07-13 08:04:00,Android
130,16,2024-07-03 17:00:00,2024-07-03 17:20:00,Android
131,16,2024-09-24 04:00:00,2024-09-24 04:42:00,Android
132,17,2024-06-15 15:00:00,2024-06-15 15:06:00,Android
133,17,2024-07-07 20:00:00,2024-07-07 20:45:00,Android
134,17,2024-05-01 04:00:00,2024-05-01 04:11:00,Android
135,17,2024-07-06 09:00:00,2024-07-06 09:07:00,Android
136,17,2024-05-26 03:00:00,2024-05-26 03:37:00,Android
137,17,2024-06-17 19:00:00,2024-06-17 19:40:00,Android
138,17,2024-07-13 07:00:00,2024-07-13 07:35:00,Android
139,17,2024-06-12 14:00:00,2024-06-12 14:30:00,Android
140,17,2024-06-02 18:00:00,2024-06-02 18:29:00,Android
141,18,2023-04-21 05:00:00,2023-04-21 05:02:00,iOS
142,18,2023-06-03 14:00:00,2023-06-03 14:40:00,iOS
143,18,2023-06-11 09:00:00,2023-06-11 09:04:00,iOS
144,18,2023-05-11 09:00:00,2023-05-11 09:20:00,iOS
145,18,2023-07-10 14:00:00,2023-07-10 14:06:00,iOS
146,18,2023-07-08 07:00:00,2023-07-08 07:18:00,iOS
147,18,2023-07-01 18:00:00,2023-07-01 18:44:00,iOS
148,19,2024-04-29 13:00:00,2024-04-29 13:22:00,Android
149,19,2024-07-10 08:00:00,2024-07-10 08:03:00,Android
150,19,2024-05-05 07:00:00,2024-05-05 07:45:00,Android
151,19,2024-07-06 18:00:00,2024-07-06 18:03:00,Android
152,19,2024-07-19 08:00:00,2024-07-19 08:38:00,Android
153,19,2024-04-29 05:00:00,2024-04-29 05:32:00,Android
