ticket_id,user_id,ticket_time,category,resolution_time_hours
1,1,2024-10-25 00:00:00,KYC Issue,6.63
2,2,2024-08-04 00:00:00,Payment Failure,49.62
3,4,2024-07-01 00:00:00,Payment Failure,18.03
4,9,2023-06-26 00:00:00,KYC Issue,41.19
5,17,2024-05-15 00:00:00,Payment Failure,69.21
6,25,2023-05-01 00:00:00,Account Access,71.71
7,28,2024-05-20 00:00:00,Account Access,32.23
8,32,2024-05-18 00:00:00,Account Access,44.19
9,33,2023-06-07 00:00:00,Account Access,37.54
10,35,2023-10-21 00:00:00,KYC Issue,46.73
11,45,2024-11-19 00:00:00,KYC Issue,67.41
12,46,2023-10-17 00:00:00,KYC Issue,54.31
13,48,2023-11-18 00:00:00,Account Access,30.38
14,52,2024-05-11 00:00:00,Payment Failure,42.54
15,57,2024-02-28 00:00:00,Account Access,9.32
16,68,2024-05-11 00:00:00,KYC Issue,71.35
17,69,2023-02-08 00:00:00,Account Access,65.17
18,72,2024-08-05 00:00:00,Payment Failure,38.85
19,80,2024-02-22 00:00:00,KYC Issue,62.3
20,85,2023-10-22 00:00:00,Payment Failure,46.63
21,86,2024-06-19 00:00:00,Account Access,48.09
22,88,2023-07-09 00:00:00,Payment Failure,45.44
23,89,2024-04-18 00:00:00,Account Access,5.56
24,92,2023-01-30 00:00:00,KYC Issue,13.72
25,95,2023-11-16 00:00:00,KYC Issue,24.25
26,97,2024-06-20 00:00:00,Payment Failure,11.43
27,106,2024-01-30 00:00:00,Payment Failure,24.45
28,110,2023-03-19 00:00:00,Account Access,47.9
29,117,2023-05-25 00:00:00,KYC Issue,47.46
30,118,2023-09-04 00:00:00,Account Access,25.35
31,120,2023-11-14 00:00:00,KYC Issue,66.78
32,123,2024-05-24 00:00:00,Payment Failure,53.62
33,127,2023-07-23 00:00:00,Account Access,63.17
34,129,2024-12-29 00:00:00,Payment Failure,32.88
35,140,2024-05-29 00:00:00,Payment Failure,25.34
36,143,2023-06-24 00:00:00,KYC Issue,64.89
37,150,2025-01-18 00:00:00,Payment Failure,67.5
38,152,2024-02-07 00:00:00,KYC Issue,60.4
39,153,2024-05-03 00:00:00,Account Access,27.02
40,163,2023-10-15 00:00:00,Account Access,56.56
41,165,2024-11-01 00:00:00,KYC Issue,44.03
42,170,2023-04-23 00:00:00,Payment Failure,32.23
43,178,2024-09-17 00:00:00,KYC Issue,70.59
44,179,2024-07-31 00:00:00,KYC Issue,10.61
45,187,2024-03-19 00:00:00,KYC Issue,69.41
46,202,2023-09-08 00:00:00,Account Access,61.4
47,212,2025-01-15 00:00:00,Account Access,57.36
48,218,2023-02-04 00:00:00,Account Access,50.07
49,219,2023-04-29 00:00:00,Account Access,64.69
50,225,2023-07-02 00:00:00,Account Access,62.73
51,231,2024-01-26 00:00:00,KYC Issue,36.6
52,234,2023-07-26 00:00:00,Payment Failure,24.35
53,241,2023-11-15 00:00:00,Payment Failure,63.32
54,248,2024-05-01 00:00:00,KYC Issue,35.61
55,249,2024-08-20 00:00:00,Account Access,26.73
56,255,2023-07-01 00:00:00,KYC Issue,53.21
