transaction_id,user_id,transaction_time,amount,status,fee_revenue
1,1,2024-11-29 07:17:00,378.38,success,5.68
2,1,2024-12-03 07:17:00,1792.56,success,26.89
3,1,2024-11-04 07:17:00,5.69,failed,0.0
4,1,2024-11-08 07:17:00,10.7,success,0.16
5,1,2024-11-22 07:17:00,15.05,success,0.23
6,1,2024-11-17 07:17:00,160.16,failed,0.0
7,1,2025-01-16 07:17:00,15.32,success,0.23
8,3,2023-05-06 08:14:00,213.34,success,3.2
9,3,2023-06-03 08:14:00,476.13,success,7.14
10,5,2023-04-11 04:22:00,1164.7,success,17.47
11,5,2023-05-05 04:22:00,19.99,success,0.3
12,6,2023-09-26 21:29:00,19.02,success,0.29
13,6,2023-09-02 21:29:00,15.08,success,0.23
14,6,2023-11-04 21:29:00,19.98,success,0.3
15,6,2023-09-02 21:29:00,446.39,success,6.7
16,6,2023-10-12 21:29:00,1417.52,success,21.26
17,6,2023-11-10 21:29:00,17.26,success,0.26
18,6,2023-08-30 21:29:00,16.14,success,0.24
19,10,2024-04-17 21:00:00,135.54,success,2.03
20,10,2024-05-06 21:00:00,15.3,success,0.23
21,10,2024-03-07 21:00:00,1434.73,success,21.52
22,11,2024-02-01 16:10:00,281.95,success,4.23
23,12,2023-11-14 09:35:00,6.21,success,0.09
24,12,2023-09-14 09:35:00,11.22,success,0.17
25,12,2023-10-29 09:35:00,10.84,failed,0.0
26,12,2023-11-18 09:35:00,52.65,failed,0.0
27,12,2023-10-29 09:35:00,13.07,success,0.2
28,13,2024-06-11 03:44:00,329.6,success,4.94
29,13,2024-07-28 03:44:00,259.27,success,3.89
30,13,2024-08-02 03:44:00,19.46,failed,0.0
31,13,2024-05-30 03:44:00,468.0,success,7.02
32,14,2023-05-15 22:50:00,422.92,success,6.34
33,14,2023-06-04 22:50:00,1712.3,success,25.68
34,18,2023-04-26 08:27:00,1392.57,failed,0.0
35,20,2024-05-24 02:35:00,13.28,success,0.2
36,20,2024-06-07 02:35:00,119.29,success,1.79
37,20,2024-06-26 02:35:00,267.12,success,4.01
38,20,2024-07-11 02:35:00,7.86,failed,0.0
39,20,2024-06-27 02:35:00,1009.81,success,15.15
40,20,2024-05-23 02:35:00,1380.41,success,20.71
41,20,2024-06-11 02:35:00,998.66,success,14.98
42,22,2024-08-19 03:34:00,95.23,failed,0.0
43,22,2024-06-04 03:34:00,75.25,success,1.13
44,22,2024-08-05 03:34:00,11.18,success,0.17
45,26,2023-06-18 04:20:00,404.89,failed,0.0
46,26,2023-05-25 04:20:00,19.81,success,0.3
47,26,2023-05-10 04:20:00,1682.65,success,25.24
48,26,2023-05-29 04:20:00,8.98,success,0.13
49,29,2024-04-10 19:18:00,539.38,success,8.09
50,29,2024-02-25 19:18:00,172.97,success,2.59
51,29,2024-02-14 19:18:00,18.05,success,0.27
52,30,2023-04-14 13:14:00,85.04,success,1.28
53,30,2023-07-11 13:14:00,180.28,success,2.7
54,30,2023-06-30 13:14:00,360.32,success,5.4
55,30,2023-05-13 13:14:00,230.2,success,3.45
56,30,2023-05-10 13:14:00,10.0,success,0.15
57,30,2023-05-06 13:14:00,1591.07,success,23.87
58,31,2023-06-11 09:44:00,10.53,success,0.16
59,36,2024-11-12 17:10:00,16.21,success,0.24
60,36,2024-12-30 17:10:00,6.55,success,0.1
61,39,2024-06-14 03:08:00,400.33,failed,0.0
62,39,2024-06-02 03:08:00,355.58,success,5.33
63,39,2024-06-07 03:08:00,1097.05,success,16.46
64,41,2023-08-04 00:53:00,1437.53,success,21.56
65,41,2023-07-18 00:53:00,14.61,success,0.22
66,41,2023-07-31 00:53:00,10.06,success,0.15
67,41,2023-08-05 00:53:00,816.21,success,12.24
68,44,2024-03-15 16:58:00,1958.09,success,29.37
69,44,2024-01-21 16:58:00,1443.54,success,21.65
70,44,2024-03-03 16:58:00,547.36,success,8.21
71,44,2024-01-17 16:58:00,11.62,success,0.17
72,44,2024-04-02 16:58:00,18.81,success,0.28
73,44,2024-03-21 16:58:00,1493.34,success,22.4
74,44,2024-02-06 16:58:00,1319.41,success,19.79
75,48,2023-11-21 05:58:00,1596.68,success,23.95
76,48,2023-11-20 05:58:00,942.54,success,14.14
77,49,2024-06-14 05:58:00,1520.51,failed,0.0
78,49,2024-03-31 05:58:00,1042.68,success,15.64
79,49,2024-05-30 05:58:00,18.54,success,0.28
80,49,2024-05-26 05:58:00,356.13,success,5.34
81,49,2024-05-25 05:58:00,75.04,success,1.13
82,49,2024-03-28 05:58:00,13.38,success,0.2
83,49,2024-03-21 05:58:00,310.24,success,4.65
84,50,2023-05-11 09:14:00,1874.6,success,28.12
85,50,2023-05-23 09:14:00,16.59,failed,0.0
86,50,2023-05-13 09:14:00,591.44,failed,0.0
87,50,2023-03-30 09:14:00,242.24,failed,0.0
88,51,2024-07-29 19:31:00,482.93,failed,0.0
89,51,2024-09-29 19:31:00,1872.69,success,28.09
90,51,2024-08-07 19:31:00,290.14,success,4.35
91,54,2025-01-27 03:12:00,430.4,success,6.46
92,54,2025-01-18 03:12:00,844.65,failed,0.0
93,54,2025-03-07 03:12:00,465.87,failed,0.0
94,54,2025-03-19 03:12:00,14.87,failed,0.0
95,54,2025-03-22 03:12:00,7.16,success,0.11
96,54,2025-03-19 03:12:00,1083.73,success,16.26
97,54,2025-01-23 03:12:00,617.64,failed,0.0
98,54,2025-01-12 03:12:00,614.03,success,9.21
99,56,2024-04-11 17:22:00,125.24,success,1.88
100,56,2024-02-17 17:22:00,474.9,success,7.12
101,56,2024-03-04 17:22:00,110.97,success,1.66
102,56,2024-04-27 17:22:00,437.99,success,6.57
103,56,2024-05-01 17:22:00,981.0,success,14.71
104,57,2024-05-19 14:14:00,18.43,success,0.28
105,57,2024-03-22 14:14:00,14.86,success,0.22
106,57,2024-05-12 14:14:00,229.83,success,3.45
107,57,2024-03-03 14:14:00,1278.2,success,19.17
108,57,2024-03-19 14:14:00,1658.51,success,24.88
109,59,2023-10-03 05:19:00,238.21,success,3.57
110,59,2023-11-16 05:19:00,14.53,success,0.22
111,59,2023-11-16 05:19:00,1762.98,success,26.44
112,59,2023-10-30 05:19:00,268.07,failed,0.0
113,59,2023-11-18 05:19:00,1237.59,success,18.56
114,59,2023-11-16 05:19:00,7.51,success,0.11
115,59,2023-10-20 05:19:00,1671.11,success,25.07
116,59,2023-11-17 05:19:00,671.31,success,10.07
117,61,2025-02-02 11:07:00,803.48,failed,0.0
118,61,2025-02-27 11:07:00,9.53,success,0.14
119,61,2025-01-07 11:07:00,6.24,success,0.09
120,61,2025-01-14 11:07:00,15.89,success,0.24
121,61,2024-12-06 11:07:00,1390.52,success,20.86
122,61,2024-12-07 11:07:00,204.61,success,3.07
123,63,2023-10-28 20:42:00,13.81,failed,0.0
124,64,2024-01-16 00:16:00,1612.54,success,24.19
125,64,2023-10-31 00:16:00,365.67,success,5.49
126,67,2023-10-19 13:58:00,1845.93,success,27.69
127,71,2024-02-28 23:49:00,318.7,success,4.78
128,71,2024-04-05 23:49:00,12.94,success,0.19
129,71,2024-04-29 23:49:00,1686.86,success,25.3
130,71,2024-03-04 23:49:00,13.64,success,0.2
131,71,2024-04-20 23:49:00,1038.17,success,15.57
132,73,2023-04-07 11:33:00,502.7,failed,0.0
133,73,2023-02-28 11:33:00,17.76,success,0.27
134,73,2023-03-28 11:33:00,8.31,success,0.12
135,73,2023-01-18 11:33:00,8.57,success,0.13
136,73,2023-04-04 11:33:00,448.99,success,6.73
137,74,2024-03-08 04:57:00,8.98,success,0.13
138,74,2024-03-09 04:57:00,119.12,success,1.79
139,74,2024-03-23 04:57:00,14.38,success,0.22
140,74,2024-02-05 04:57:00,263.11,success,3.95
141,74,2024-03-23 04:57:00,338.84,failed,0.0
142,74,2024-02-15 04:57:00,70.08,success,1.05
143,74,2024-02-02 04:57:00,13.46,success,0.2
144,74,2024-02-12 04:57:00,17.12,success,0.26
145,77,2024-04-19 21:50:00,281.87,success,4.23
146,77,2024-04-23 21:50:00,7.03,success,0.11
147,77,2024-03-28 21:50:00,162.27,success,2.43
148,77,2024-04-07 21:50:00,10.53,success,0.16
149,77,2024-04-02 21:50:00,317.32,success,4.76
150,77,2024-04-16 21:50:00,887.99,success,13.32
151,77,2024-03-06 21:50:00,10.8,failed,0.0
152,81,2023-11-28 17:52:00,6.92,failed,0.0
153,81,2023-11-10 17:52:00,150.01,success,2.25
154,81,2023-11-10 17:52:00,10.58,success,0.16
155,82,2024-09-09 07:33:00,10.75,success,0.16
156,82,2024-10-03 07:33:00,284.13,failed,0.0
157,82,2024-09-13 07:33:00,10.14,success,0.15
158,82,2024-10-17 07:33:00,5.29,success,0.08
159,83,2023-07-05 10:31:00,665.65,success,9.98
160,83,2023-07-24 10:31:00,612.57,success,9.19
161,83,2023-08-06 10:31:00,255.54,success,3.83
162,83,2023-07-17 10:31:00,443.36,success,6.65
163,85,2024-01-06 00:30:00,15.51,success,0.23
164,85,2024-01-02 00:30:00,1758.55,failed,0.0
165,85,2023-12-27 00:30:00,339.53,failed,0.0
166,85,2023-10-31 00:30:00,271.24,success,4.07
167,85,2023-11-07 00:30:00,13.26,success,0.2
168,85,2023-12-22 00:30:00,11.72,failed,0.0
169,85,2024-01-01 00:30:00,553.75,success,8.31
170,93,2024-07-18 23:11:00,152.44,success,2.29
171,93,2024-08-29 23:11:00,1509.95,success,22.65
172,93,2024-09-26 23:11:00,5.95,success,0.09
173,96,2024-06-05 03:28:00,397.47,success,5.96
174,96,2024-06-19 03:28:00,1253.25,success,18.8
175,96,2024-07-03 03:28:00,15.26,success,0.23
176,96,2024-06-27 03:28:00,485.48,failed,0.0
177,96,2024-04-21 03:28:00,269.44,success,4.04
178,97,2024-08-23 21:01:00,145.18,success,2.18
179,97,2024-07-04 21:01:00,14.92,success,0.22
180,97,2024-08-19 21:01:00,315.86,success,4.74
181,98,2024-07-29 04:59:00,363.94,success,5.46
182,98,2024-07-30 04:59:00,1861.79,success,27.93
183,98,2024-08-05 04:59:00,7.01,success,0.11
184,98,2024-08-20 04:59:00,11.13,success,0.17
185,98,2024-06-27 04:59:00,218.76,success,3.28
186,98,2024-06-25 04:59:00,880.45,success,13.21
187,99,2024-01-12 05:47:00,15.6,success,0.23
188,99,2023-11-04 05:47:00,320.11,success,4.8
189,99,2023-10-27 05:47:00,376.02,success,5.64
190,101,2023-11-27 08:14:00,903.61,success,13.55
191,101,2023-11-11 08:14:00,139.85,success,2.1
192,101,2023-11-12 08:14:00,17.52,success,0.26
193,101,2023-10-28 08:14:00,1420.74,failed,0.0
194,101,2023-12-18 08:14:00,1847.18,failed,0.0
195,101,2023-12-19 08:14:00,393.92,success,5.91
196,102,2023-03-24 08:30:00,12.09,failed,0.0
197,102,2023-05-24 08:30:00,374.25,success,5.61
198,102,2023-05-16 08:30:00,5.72,success,0.09
