user_id,signup_date,acquisition_channel,country,device_type,kyc_status,kyc_completed_at
1,2024-10-16 00:00:00,organic,UK,iOS,approved,2024-10-21 00:00:00
2,2024-08-03 00:00:00,affiliate,Ireland,Android,rejected,
3,2023-04-28 00:00:00,paid_ads,UK,iOS,approved,2023-05-02 00:00:00
4,2024-06-29 00:00:00,paid_ads,Ireland,iOS,approved,2024-07-04 00:00:00
5,2023-02-02 00:00:00,affiliate,Ireland,iOS,approved,2023-02-04 00:00:00
6,2023-08-07 00:00:00,affiliate,India,iOS,approved,2023-08-11 00:00:00
7,2024-10-11 00:00:00,affiliate,UK,iOS,pending,
8,2024-07-18 00:00:00,paid_ads,UK,iOS,pending,
9,2023-06-01 00:00:00,referral,Ireland,iOS,rejected,
10,2024-02-21 00:00:00,affiliate,UK,Android,approved,2024-02-23 00:00:00
11,2023-11-04 00:00:00,referral,UK,iOS,approved,2023-11-06 00:00:00
12,2023-08-29 00:00:00,paid_ads,Ireland,iOS,approved,2023-09-02 00:00:00
13,2024-05-12 00:00:00,organic,Ireland,Android,approved,2024-05-16 00:00:00
14,2023-03-19 00:00:00,paid_ads,India,iOS,approved,2023-03-24 00:00:00
15,2024-08-29 00:00:00,organic,India,Android,pending,
16,2024-06-27 00:00:00,referral,India,Android,approved,2024-06-30 00:00:00
17,2024-04-25 00:00:00,referral,Ireland,Android,pending,
18,2023-04-12 00:00:00,affiliate,Ireland,iOS,approved,2023-04-14 00:00:00
19,2024-04-24 00:00:00,paid_ads,UK,Android,approved,2024-04-25 00:00:00
20,2024-05-18 00:00:00,affiliate,UK,iOS,approved,2024-05-20 00:00:00
21,2023-07-13 00:00:00,affiliate,Ireland,iOS,pending,
22,2024-05-22 00:00:00,affiliate,Ireland,Android,approved,2024-05-26 00:00:00
23,2024-09-26 00:00:00,paid_ads,UK,Android,approved,2024-09-30 00:00:00
24,2023-10-21 00:00:00,paid_ads,Ireland,Android,approved,2023-10-24 00:00:00
25,2023-04-21 00:00:00,paid_ads,UK,Android,pending,
26,2023-04-29 00:00:00,organic,India,iOS,approved,2023-05-04 00:00:00
27,2024-01-06 00:00:00,referral,Ireland,iOS,pending,
28,2024-05-17 00:00:00,paid_ads,Ireland,Android,approved,2024-05-19 00:00:00
29,2024-01-17 00:00:00,paid_ads,UK,Android,approved,2024-01-18 00:00:00
30,2023-04-04 00:00:00,paid_ads,Ireland,iOS,approved,2023-04-07 00:00:00
31,2023-05-30 00:00:00,organic,Ireland,iOS,approved,2023-06-03 00:00:00
32,2024-04-18 00:00:00,paid_ads,India,Android,pending,
33,2023-06-03 00:00:00,referral,UK,iOS,rejected,
34,2024-07-06 00:00:00,paid_ads,India,iOS,pending,
35,2023-10-07 00:00:00,referral,UK,Android,rejected,
36,2024-09-29 00:00:00,referral,Ireland,Android,approved,2024-10-04 00:00:00
37,2024-10-20 00:00:00,organic,UK,iOS,approved,2024-10-22 00:00:00
38,2023-09-17 00:00:00,organic,UK,iOS,pending,
39,2024-05-23 00:00:00,paid_ads,Ireland,Android,approved,2024-05-27 00:00:00
40,2023-01-27 00:00:00,paid_ads,UK,iOS,approved,2023-01-30 00:00:00
41,2023-05-05 00:00:00,affiliate,UK,iOS,approved,2023-05-10 00:00:00
42,2024-05-24 00:00:00,affiliate,UK,Android,approved,2024-05-28 00:00:00
43,2023-11-17 00:00:00,organic,Ireland,Android,rejected,
44,2024-01-10 00:00:00,organic,Ireland,Android,approved,2024-01-14 00:00:00
45,2024-10-20 00:00:00,paid_ads,Ireland,iOS,pending,
46,2023-10-08 00:00:00,organic,UK,iOS,pending,
47,2023-08-08 00:00:00,organic,UK,Android,approved,2023-08-13 00:00:00
48,2023-10-20 00:00:00,paid_ads,India,iOS,approved,2023-10-21 00:00:00
49,2024-03-13 00:00:00,referral,Ireland,Android,approved,2024-03-16 00:00:00
50,2023-03-03 00:00:00,affiliate,Ireland,Android,approved,2023-03-05 00:00:00
51,2024-06-21 00:00:00,referral,Ireland,iOS,approved,2024-06-25 00:00:00
52,2024-04-22 00:00:00,organic,India,iOS,rejected,
53,2024-03-03 00:00:00,organic,Ireland,iOS,approved,2024-03-08 00:00:00
54,2024-12-25 00:00:00,organic,Ireland,iOS,approved,2024-12-30 00:00:00
55,2024-02-11 00:00:00,affiliate,Ireland,Android,approved,2024-02-13 00:00:00
56,2024-02-03 00:00:00,referral,Ireland,iOS,approved,2024-02-06 00:00:00
57,2024-02-12 00:00:00,affiliate,Ireland,Android,approved,2024-02-14 00:00:00
58,2024-03-01 00:00:00,affiliate,Ireland,Android,approved,2024-03-04 00:00:00
59,2023-09-07 00:00:00,referral,UK,iOS,approved,2023-09-11 00:00:00
60,2023-02-12 00:00:00,paid_ads,Ireland,iOS,pending,
61,2024-11-26 00:00:00,paid_ads,Ireland,Android,approved,2024-11-29 00:00:00
62,2023-08-23 00:00:00,referral,UK,iOS,pending,
63,2023-10-19 00:00:00,paid_ads,UK,Android,approved,2023-10-24 00:00:00
64,2023-10-21 00:00:00,paid_ads,UK,iOS,approved,2023-10-26 00:00:00
65,2023-09-23 00:00:00,organic,Ireland,Android,pending,
66,2024-11-02 00:00:00,referral,Ireland,iOS,approved,2024-11-03 00:00:00
67,2023-09-06 00:00:00,referral,UK,iOS,approved,2023-09-11 00:00:00
68,2024-04-14 00:00:00,affiliate,Ireland,iOS,pending,
69,2023-02-01 00:00:00,affiliate,India,Android,approved,2023-02-02 00:00:00
70,2024-03-30 00:00:00,paid_ads,Ireland,Android,pending,
71,2024-01-27 00:00:00,paid_ads,Ireland,iOS,approved,2024-01-29 00:00:00
72,2024-08-04 00:00:00,paid_ads,UK,iOS,rejected,
73,2023-01-01 00:00:00,referral,UK,Android,approved,2023-01-04 00:00:00
74,2023-12-25 00:00:00,organic,Ireland,iOS,approved,2023-12-27 00:00:00
75,2024-06-19 00:00:00,referral,UK,Android,rejected,
76,2024-06-16 00:00:00,referral,India,Android,approved,2024-06-20 00:00:00
77,2024-02-25 00:00:00,organic,UK,Android,approved,2024-02-29 00:00:00
